categorie,details,adresse,chambres,superficie,prix,image_lien
Appartements meublés,Chambre Meuble / Studio Meublé,"Sacré-cœur, Dakar",,,18 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/076eb68d5aafb34125e2e0dc02dcf8d8/-/horizon-files-prod/ed/picture/qng90z4v/fa1a56097a6928d46d00d1e3b0232418dce73c08.jpg
Appartements meublés,STUDIO MEUBLÉ À LOUER SACRÉ CŒUR,"Sacré-cœur, Dakar",1 chambre,40 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2bbf18360296fa6ce3600cd9ff5d9367/-/horizon-files-prod/ed/picture/qjwd8ve/14ef237a1e9c5e7aba87b58469917745444def52.jpg
Appartements meublés,Bel appartement meublé à ngor almadies,"Almadies, Dakar",1 chambre,,799 948 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/72be0f77c875ae046bacb4dc386094d6/-/horizon-files-prod/ed/picture/qj4qvkw8/4a57d74a828327da9e70f3cc7881653aeb19ce8f.jpg
Appartements meublés,Appartements meublés à louer VDN LIBERTÉ 6,"Liberte 6, Dakar",2 chambre,,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1e139d9593dff3f33ed8440ce352abc8/-/horizon-files-prod/ed/picture/q44dgvd2/c174b12e5fe21067d660aecce7de58ae0eb1a55f.jpg
Appartements meublés,Studios meublés à louer VDN,"Liberte 6, Dakar",,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f53210fc345d32541ae4ee0fc5d8677a/-/horizon-files-prod/ed/picture/qzv400gd/3cb6f87661c7bae7b5890c1cfe965c69b0e4a8b3.jpg
Appartements meublés,Appartement F3 meublé à louer à la cité Keur Gorgui,"Cité keur gorgui, Dakar",2 chambre,,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a4a9c73d4d5cc30e3770eb047a6ae0a5/-/horizon-files-prod/ed/picture/qngpw22g/b4cd254bf8a49fa3bec40d122dd41870729c8832.jpg
Appartements meublés,Studio meuble,"Cité keur gorgui, Dakar",1 chambre,50 m²,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5beaa02858b4f09df6f2bdf85ac8a56/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q56px9kr/12afed661171d84a8aff3d2424f8beb2d8abecc9.jpg
Appartements meublés,Studio Luxe et confort,"Yoff, Dakar",1 chambre,100 m²,29 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/126779035cfc9e85c64a83bc6ab685cd/-/horizon-files-prod/ed/picture/qpdmpmjr/9c7a5cbe1e008c0c5a552092a217c4c722a1f681.jpg
Appartements meublés,Appatement meuble sacré cœur 3 VDN,"Sacré-cœur, Dakar",2 chambre,100 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9cac1a0bfbec5204a61aae8dcc8278b0/-/horizon-files-prod/ed/picture/qde906g2/162c66a110a4a229f4177b58b3c96228ba8e129d.jpg
Appartements meublés,À Louer – Appartement Meublé F5 à Ngor Almadies,"Ngor, Dakar",4 chambre,200 m²,1 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8f2a9dd4fafeff0de92f24a7bbf4f3cd/-/horizon-files-prod/ed/picture/qm50v44z/f96e8fdcb8406e631c2f0f9ca55c427ba862ec07.jpg
Appartements meublés,Cosy F1 meublé à Ngor/Almadies recasement,"Almadies, Dakar",,,27 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5a4bcb876f61c329d97474ccca0f179/-/horizon-files-prod/ed/picture/q9mj2e0v/150df22d20a033e7cbd514417a5923d9a9ca1e77.jpg
Appartements meublés,Bel Appartement meublé à louer Cité Magistrat,"Cité Damel, Dakar",2 chambre,,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2ed0cdfac01eb16223e377a4ab04d72e/-/horizon-files-prod/ed/picture/qxj8wg2m/08d627d902ba948f1096340e55196c2fd99d0535.jpg
Appartements meublés,À Louer – Magnifique Appartement Meublé 3 Chambres à Ngor,"Ngor, Dakar",3 chambre,,1 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c57ca8c798a7293428ef9024f2efdbe3/-/horizon-files-prod/ed/picture/qrzr60rx/80561b6c9ef7c651e666bd4fb57278b0a51e4148.jpg
Appartements meublés,joli appartement sur la VDN cité Sipres Mourtala,"VDN, Dakar",2 chambre,100 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2dcbd39757159c05e8df5f196c20c867/-/horizon-files-prod/ed/picture/qd6me50/aa00e1152dbd4252ce6449fe5434ad82cdccae26.jpg
Appartements meublés,Superbe villa meublée à louer à la cité Diobas à Thiès,"Thiès, Thiès",2 chambre,200 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c881b9d0dcc4036d8cd34e9955296da/-/horizon-files-prod/ed/picture/qwep4675/b920f4c52f04e73c9d25e8e928930e4b24742b3a.jpg
Appartements meublés,Studio meublé Sud Foire,"Sud foire, Dakar",,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a03e6cd67d46ba697a534ddd38da1a24/-/horizon-files-prod/ed/picture/qwez9v45/095e5260b5af494d152ac1954db3926f38757685.jpg
Appartements meublés,Appartement meublé de type f3 avec vue / mer louer à Ngor,"Ngor, Dakar",2 chambre,120 m²,58 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f198e79229c0e421f9bf14f9fa8cf06e/-/horizon-files-prod/ed/picture/qngpw82r/7a3b1e04d1250751677632b3c8f1f478edbf93f9.jpg
Appartements meublés,Appartement meublé à louer à la Cité Mixta,"Cite Mixta, Dakar",,,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0f0f589b784bc7e6fc1b22cf0033651/-/horizon-files-prod/ed/picture/qj4jkn8z/104bb816f088bb57c3514587f0000d20ce458628.jpg
Appartements meublés,"Appartements à ""Kalia Zone de Captage","Zone de captage, Dakar",88 m²,,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a4e73ae378aca2d1fc1df28ed435a72/-/horizon-files-prod/ed/picture/qm5gv526/0c5cf827a401d116fd4952f1ab2a63bc02c01627.jpg
Appartements meublés,Appartement meublé 2 chambres keur gorgui,"Cité keur gorgui, Dakar",2 chambre,80 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d7073424c8f2621313ba0a33d246aa6e/-/horizon-files-prod/ed/picture/qde7rrxr/8ac40e0f229bcdb33691eeb4b32ce09b62fc145f.jpg
Appartements meublés,STUDIO MEUBLÉ MAMELLE,"Mamelles, Dakar",,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0ad819fc82d1ec5a8607a88a482337c3/-/horizon-files-prod/ed/picture/q6xd7knd/44f582d62274a676eae3798cd1b6ce86b7415b63.jpg
Appartements meublés,Appartement meublé à louer,"Cite Mixta, Dakar",,,"19 000 F Cfa
25 000 F Cfa",https://i.roamcdn.net/hz/ed/listing-thumb-224w/8bc151e38909fa4559ad8e9251318322/-/horizon-files-prod/ed/picture/qwerp656/6c6667d4146627d7968e5b6a9d6dfa8db017e3e6.jpg
Appartements meublés,Mini studio meublé au monument de la renaissance,"Ouakam, Dakar",,,13 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/083185a5570101fa556eb76db42ffe3a/-/horizon-files-prod/ed/picture/q9mk085x/e3b8dd4e7470bb89953ff954b704e7f1a832dad4.jpg
Appartements meublés,Appartement meublé à louer,"Mermoz, Dakar",1 chambre,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d97627a93dd7dbb10954c4905138dc2a/-/horizon-files-prod/ed/picture/qwernw9p/eb89d52a1fe2acaa9bfa3de3c326f1f942b32636.jpg
Appartements meublés,Grande Chambre Salle de Bain climatisee,"Ouest foire, Dakar",2 chambre,90 m²,13 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3c1252b0a4d6adfff5d57747c8af7a0/-/horizon-files-prod/ed/picture/qxj8wqqq/71957fa3fc5d36d898abaa5f93b4e877f7a4962f.jpg
Appartements meublés,Appartement meublé F4 à louer,"Fenêtre mermoz, Dakar",4 chambre,170 m²,1 550 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/737a6ecf64a43a62a6a392c0f09ec15d/-/horizon-files-prod/ed/picture/qkr8ngj8/24c0c3c25116f5e7765aa253667e9f31a8ee5620.jpg
Appartements meublés,Appartement meublé F4 à louer,"Fenêtre mermoz, Dakar",3 chambre,180 m²,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc1628c0b816769b8e66c4cd12b440b8/-/horizon-files-prod/ed/picture/qxjper72/072331d71c0f43e38fb3dfbff5025ec60e36f3e3.jpg
Appartements meublés,"Appartement Ouakam corniche 1,2,3 chambres","Ouakam, Dakar",1 chambre,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/41964c30deef0bd585bc8cfa02ebc1c3/-/horizon-files-prod/ed/picture/q0g78jjd/bbbc8be1b8b20f4f045ee86e46d8a994dbeb3917.jpg
Appartements meublés,Appartement Meublé à Louer aux Centre ville,"Plateau, Dakar",2 chambre,160 m²,1 350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8f296561442c56dec62108a236cf9fb4/-/horizon-files-prod/ed/picture/qj46546e/688b6dc1afebffa4853718417b3c459a5622c1f0.jpg
Appartements meublés,Appartement de 3 chambres élégamment meublé à Ngor,"Ngor, Dakar",3 chambre,,3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3cd35eadc1a292ea5c91e228bd0073e1/-/horizon-files-prod/ed/picture/qq4zw59p/e7b4b746a2e0358dd5a71e85c0438f9dcc71803f.jpg
Appartements meublés,"Appartement meublé, sécurisé, climatisé F4 à Ngor Extension","Almadies, Dakar",3 chambre,150 m²,900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a48cd5c7324222766c8da53b7f894a8/-/horizon-files-prod/ed/picture/qpdg670m/4a2896a47aa43e8d469cfdc3c013960cd7e2cc3c.jpg
Appartements meublés,Studios Résidence Zeina Hann Maristes,"Hann maristes, Dakar",1 chambre,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a31d715f1dabb5c84de2f8e9387b5bd/-/horizon-files-prod/ed/picture/qdekxrgw/2ec17c0c4600891e9ff1cb8c45e5b11519a14bdd.jpg
Appartements meublés,Joli studio meublé Maristes 2,"Hann maristes, Dakar",,,17 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb95bf1f065575f0bef3e0a6065e3a6b/-/horizon-files-prod/ed/picture/q0mvw5k/6d99808db1e4ca323f9f25dfdceb87075f8268ef.jpg
Appartements meublés,Appartement F4 meublé au point E,"Point-e, Dakar",3 chambre,,2 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45f7049b81d75393ddc2772a56b2b642/-/horizon-files-prod/ed/picture/qgqm447k/796edee399355a6e81a87bd5aadcc92c919a18cc.jpg
Appartements meublés,Belle villa à louer à Ngor Almadies,"Gueule-Tapée, Dakar",5 chambre,,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7c360c818f899aaaee3ca420c6ed8ddd/-/horizon-files-prod/ed/picture/q9mkrrqv/345dfecb44ae19ee36369e9648d8c3e80659478e.jpg
Appartements meublés,chambre meublée à louer par nuitée,"Cité keur gorgui, Dakar",20 chambre,14 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d1b893d804b5bda35326034702ec6ca/-/horizon-files-prod/ed/picture/q9m9gd25/823044fce3de8c194892e123215c148af40b5cbf.jpg
Appartements meublés,studio meublé climatisé à louer par nuitée,"Cité keur gorgui, Dakar",5 chambre,70 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/351627284aed2d75bd4e21fd52cc3b76/-/horizon-files-prod/ed/picture/q56xg527/95fd8b1230da03f871413319b03ce0f6fe577fd1.jpg
Appartements meublés,Jolis studios meublés à Mermoz Sipres,"Mermoz, Dakar",1 chambre,100 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c4f3685a2323dca560b268aae30666b3/-/horizon-files-prod/ed/picture/q2jkk06p/5c1ad5905637eeed8fd1111e085acfa5f0825427.jpg
Appartements meublés,Magnifique duplex meublé,"Cité assemblée, Dakar",4 chambre,,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35478cb41debab6d5589867f23a1f49a/-/horizon-files-prod/ed/picture/qwep7574/a7c3e18545822fa827dc4c4e95706dd5f7fafed5.jpg
Appartements meublés,Chambre mini studio au lac rose,"Lac Rose, Dakar",2 chambre,20 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/882d447bd422dde5399fa585f353d561/-/horizon-files-prod/ed/picture/q445j965/90e50127004ce3b9e8acc2a791f732cdc270b6fa.jpg
Appartements meublés,Appartement F4 meublé à sacrée cœur,"Sicap Sacré-cœur, Dakar",3 chambre,148 m²,75 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/07039cba6fd4392c9f3dfa36f4afb0ac/-/horizon-files-prod/ed/picture/q78w824n/268df767b59f7160a518b3a4a8b60d3861341888.jpg
Appartements meublés,Studio meublé à sacré cœur 1,"Sacré-cœur, Dakar",,,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ecca5597e7eaf507ffbec3d7d41a0af1/-/horizon-files-prod/ed/picture/q2jk0pw6/598bc7d37dc69571fdaaf65c044568f41af92cc7.jpg
Appartements meublés,Appartement meublé,"Almadies, Dakar",1 chambre,200 m²,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/857e6e2dd448bea2e60114831be589eb/-/horizon-files-prod/ed/picture/qv4dw58j/e5d9fade23246c0198b274b25431925b711b52d7.jpg
Appartements meublés,Studio meublé Saint Louis quartier Ngallele Zac,"Saint-Louis, Saint-Louis",1 chambre,70 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1a90374b29e45c2953c2f31f685027b3/-/horizon-files-prod/ed/picture/qng907mg/bceb7f30f14c169d3416e9df0561d454477c1e7d.jpg
Appartements meublés,Appartement meublé de 2 chambres salon à la Cité keur Gorgui,"Cité keur gorgui, Dakar",2 chambre,,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/399b6291ed4a1a2aa6231f11df2bbd2f/-/horizon-files-prod/ed/picture/q8v4q0er/43349117c569ae2f0f66dfc9960212f8731b16ff.jpg
Appartements meublés,STUDIO A LOUER,"Sicap Liberté, Dakar",,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/07d899607d16c035af193918bc0148a6/-/horizon-files-prod/ed/picture/qxzmgp8/730a1a270beffe0ec9c60e24d34d830d062b3393.jpg
Appartements meublés,STUDIO MEUBLÉ À LOUER,"Liberte 6 extension, Dakar",1 chambre,50 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ba55a598f7af489969f976062212af36/-/horizon-files-prod/ed/picture/q9mjxm77/5ca46407bd86c2f4d360396f24bb3df1fefc1997.jpg
Appartements meublés,Chambre meublée Hann Maristes,"Hann maristes, Dakar",1 chambre,20 m²,17 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb3d46e30872a40b5a9f0638b12b2ca6/-/horizon-files-prod/ed/picture/q29g4pq/5d4965170912342dac4524610f235ee9d9dbf8e7.jpg
Appartements meublés,Studio meublé,"Hann maristes, Dakar",1 chambre,75 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/982a4927e749a11f567b5bb623f032e9/-/horizon-files-prod/ed/picture/q9mmr0zv/0accbd4185f22bf0878b6d9356e68ef53060e97a.jpg
Appartements meublés,Studio à Louer,"Hann maristes, Dakar",1 chambre,100 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/626dd97af97719d98293a6a5592f2a55/-/horizon-files-prod/ed/picture/qdjwj8j/5741dbe65555b32effe97c65906a3394e315928d.jpg
Appartements meublés,Appartement Meublé avec Terrasse & Piscine – Almadies,"Almadies, Dakar",2 chambre,,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/81e25ea52e4038db5d9dd2f17675c90d/-/horizon-files-prod/ed/picture/q8v477nj/330b1a99cacfa2cc534ef2934a5144bae34aeaed.jpg
Appartements meublés,Appartement Meublé à Louer aux Mamelle,"Mamelles, Dakar",3 chambre,150 m²,1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f03ece29e2302174c5f18746a1faccb/-/horizon-files-prod/ed/picture/q6xq6k9z/824376601c3f3fb94fbb38da5825101c40d84a88.jpg
Appartements meublés,Appartement de type F4 au point e,"Fenêtre mermoz, Dakar",3 chambre,180 m²,1 550 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/65913e21a8893db0e4959a1fc515d78a/-/horizon-files-prod/ed/picture/qrz89g44/855f2a0cdcfe7a3ca95c79a189de6ab1c39ecaf1.png
Appartements meublés,Appartement meublé à louer à la Cité Keur Gorgui,"Cité keur gorgui, Dakar",3 chambre,,1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c7acb28d9b6d0bb3e67a5162f4749ff/-/horizon-files-prod/ed/picture/qq4zz7ne/fec129e39f4ae212cb293bbef25eccac314beb68.jpg
Appartements meublés,Studio meublé à Sacré Coeur 3,"Sacré-cœur, Dakar",,,18 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3cae803ce99975976f947c9bfd71b06f/-/horizon-files-prod/ed/picture/q0g7xekj/efbb983036856b4f0815cef4630728763e010b26.jpg
Appartements meublés,2 chambres salon mbakiyou faye,"Mamelles, Dakar",2 chambre,,550 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e3079f7ba3e8be6478a94182aa1f9168/-/horizon-files-prod/ed/picture/q0gkn5zm/2777f9cc28d735adaebc8d532be5543503eca08c.jpg
Appartements meublés,3 chambres salon meublé,"Mbour, Thiès",3 chambre,150 m²,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/56248cfedc3f909edb793e160e6aa8a3/-/horizon-files-prod/ed/picture/qv4dgxzk/f90d2222de176f9690d8499995d375f3194a2636.jpg
Appartements meublés,Luxueuse studio meuble au mammelles,"Mamelles, Dakar",1 chambre,75 m²,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ce4b5b0bbabbbbef6024f3f8a6423a1/-/horizon-files-prod/ed/picture/qpdg02jp/49cb1552f9c20feba8ced79f85f3616ba41d6703.jpg
Appartements meublés,Joli appartement meublé VDN cité Mourtala 2,"VDN, Dakar",1 chambre,90 m²,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2dd768c4497e8bb1a0ed6de7ce99cea/-/horizon-files-prod/ed/picture/qq4d2zmv/a28db0c9940692c81142acbf72bf746f40ea0dc1.jpg
Appartements meublés,Maison meublée avec piscine,"Somone, Thiès",6 chambre,,120 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cf08f8241cf1e71f2ed651504d1513e6/-/horizon-files-prod/ed/picture/qde9d7xg/5619c479f23c500cf6c150b7e93715660030531c.jpg
Appartements meublés,Appartement meuble à louer Mermoz,"Mermoz, Dakar",1 chambre,,750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d66af2cb4787ae9c76c0088cff3a0c45/-/horizon-files-prod/ed/picture/qkr77vqv/fa731a3ea2620b8c52bc5b49af028241e69a4c55.jpg
Appartements meublés,Appartement meublé à louer à la Foire,"VDN, Dakar",,,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b8b43ed04be9491711f4891dcf8e30ea/-/horizon-files-prod/ed/picture/q9m9wej5/d612d434291d5d2d7a261538debd5fefe4101200.jpg
Appartements meublés,A la recherche d’un f3 à Somone,"Somone, Thiès",,,300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d43b24b5b53151094de14e3179cd93ed/-/horizon-files-prod/ed/picture/q78wr278/a1e08c529c55ca4757284e86b32b49bd32d2e8a2.png
Appartements meublés,Appartement meublé avec piscine et salle de sport,"Almadies, Dakar",1 chambre,70 m²,47 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/25a9191c5312f109f86ffe6c2a6cb7b3/-/horizon-files-prod/ed/picture/q44ne0we/16a1fea1c18d7cb0cc4a0c3c184fe1d77b248006.jpg
Appartements meublés,APPARTEMENT F3 BIEN MEUBLÉ,"VDN, Dakar",2 chambre,129 m²,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/328b559e1f0ec879da9f341f99d34185/-/horizon-files-prod/ed/picture/q56w2v0n/9b3cc91d7ca006ef2b25368ab04391b09afba1aa.jpg
Appartements meublés,Mini studio meublé à la médina,"Médina, Dakar",1 chambre,15 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d99774d616bd072fb6f67e895c75dfc8/-/horizon-files-prod/ed/picture/q2jqqzvg/8bea02570335029777d7a62cdc552d72be2f1d59.jpg
Appartements meublés,Mini studio meublé aux Mamelles,"Mamelles, Dakar",1 chambre,50 m²,16 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/974c0703cc93c32935799f4077a46205/-/horizon-files-prod/ed/picture/qgqw5xpk/b9ff0bbfa275f7b00da7a3f057f0b372f56fffd3.jpg
Appartements meublés,Studio meublé à ouakam,"Ouakam, Dakar",1 chambre,30 m²,16 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af314201b35a5dfcaed987783be33f1d/-/horizon-files-prod/ed/picture/q0gggjd8/fa3679e2ecff644d7d4e559f94057eeab0a8e166.jpg
Appartements meublés,Chambre d'hôte dans un appartement meublé,"Ouakam, Dakar",,,7 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c14d3f99f103ef439fde7fdd1d9b24e1/-/horizon-files-prod/ed/picture/qzvpvq7r/37cb776375d67054b87a7b810d9ba15233d63929.jpg
Appartements meublés,Appartement F3,"Ngaparou, Thiès",2 chambre,80 m²,300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f36b2864af8b2d7fe9d58210d00660f7/-/horizon-files-prod/ed/picture/qm50p2rm/4fb126c6ef39cc25386146e173ef2f2be2939c6c.jpg
Appartements meublés,Location appartement meublé Point E,"Point-e, Dakar",1 chambre,,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2bba08177968db4182c949f4ba08b95f/-/horizon-files-prod/ed/picture/qgq92ex9/3062098ffa9d96e26ea4217631ee46f2c364bb16.jpg
Appartements meublés,STUDIO MEUBLÉ À LOUER,"Sicap Liberté, Dakar",1 chambre,25 m²,17 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/88cf2f048d2a2e42f27e0dbb3e68daba/-/horizon-files-prod/ed/picture/qdm0r50/1d45f5c98348bd6605cd52d217f2c75f161ea4ad.jpg
Appartements meublés,Appartement 3 Chambres Entièrement Équipé,"Mermoz, Dakar",3 chambre,175 m²,38 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d20aeb5548e438303eef0493d4668cd/-/horizon-files-prod/ed/picture/qwep05d4/e371f7470676d5907ed39af86fa065011a98a0ed.jpg
Appartements meublés,Chic et joli F4 meublé proche du centre ville,"Gibraltar, Dakar",3 chambre,100 m²,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4388ae79fe376b9b55fab023725b3e1d/-/horizon-files-prod/ed/picture/q0gkwmwk/c70cddacd20e14a3c0dc32bf0e5ae8ca3bd8e1c2.jpg
Appartements meublés,Appartements à la Cité Kalia Almadies2,"Almadies 2, Dakar",65 m²,,375 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b6fb9ad93990e202b4f6949a45842a48/-/horizon-files-prod/ed/picture/qj4qwpe8/2a9012e45ed9de20d745533d4bc1ebb63c476f95.jpg
Appartements meublés,Appartements à la Cité Kalia Almadies2,"Almadies 2, Dakar",60 m²,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8bde93a61f2633f9ec4f134428d1efa5/-/horizon-files-prod/ed/picture/q44n8eq8/5954b208b0bb31e4efc434338fed3934588a3c92.jpg
Appartements meublés,"Appartements à ""Kalia Zone de Captage""","Zone de captage, Dakar",85 m²,,850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/71d68adf577d59a97ca63ae5c1cc9a1b/-/horizon-files-prod/ed/picture/qv4wqg8g/870fc184687ee113eeef66e5cbadcb28769d096d.jpg
Appartements meublés,Studio meublé,"Sicap Liberté, Dakar",1 chambre,140 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8138daba357f9650943080bd4bc4fdd8/-/horizon-files-prod/ed/picture/q7kzjgd/62f5ff81663974528fc7b67398767f5fdc17091f.jpg
Appartements meublés,Un joli appartement meublé à louer aux Almadies,"Almadies, Dakar",3 chambre,200 m²,1 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6312f9b6980951de87ae41285ef69bc4/-/horizon-files-prod/ed/picture/qde9dwww/9bd0de21a95101aafc1c4ca5edf271673fcdbf9c.jpg
Appartements meublés,Studio meublé,"Liberte 6 extension, Dakar",1 chambre,80 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/78ce4e2edeb943a4364e9f5dd8906b8c/-/horizon-files-prod/ed/picture/q8vz264p/4fec26546b2ba069d72bcdcd850cf4ec1efb80ac.jpg
Appartements meublés,Appartement meublé à louer Mermoz,"Mermoz, Dakar",1 chambre,,850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4092338584b40c64e63da986be8671dc/-/horizon-files-prod/ed/picture/q56pr6p7/183c18df53844f13dd2b85263b8f6b18ecd82472.jpg
Appartements meublés,Appartement meuble F4 à louer Mermoz,"Mermoz, Dakar",3 chambre,,1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f510dfe279b9773140e5d46ab3abdea/-/horizon-files-prod/ed/picture/qv4d94gw/cd1df87e7903b4e9dbb3c67311143686a775523a.jpg
Appartements meublés,Appartement Meublé à Louer aux Centre ville,"Plateau, Dakar",2 chambre,160 m²,1 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c1251ac90ba8a1835e639b5e13562c70/-/horizon-files-prod/ed/picture/qj46r27v/23c447001be8c2d39b810b69bf7df04b607d6e08.jpg
Appartements meublés,Appartement meublé à louer Dakar almadies,"Almadies, Dakar",,,57 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/91cf884aeff5d2659987eb27720e6c8c/-/horizon-files-prod/ed/picture/qgqm4q59/7832a0bf873f846c2935e3c56241f20af7e30eed.jpg
Appartements meublés,Studio Meublé sur la vdn,"VDN, Dakar",1 chambre,50 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f95f8d1cf7e88b533563b90b47f4da1a/-/horizon-files-prod/ed/picture/qvqv425/ef32ca951277c2b90a1b532798b99f04cfd4a262.jpg
