categorie,details,adresse,chambres,superficie,prix,image_lien
Appartements meublés,Chambre meublée à louer,"Hann maristes, Dakar",1 chambre,,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6649d88abdea48d5df9697ab346d7cd/-/horizon-files-prod/ed/picture/qm50ve6g/3061b6d643360f497492992bd9c50e33b5848545.jpg
Appartements meublés,Superbe Chambre salon meublé à louer,"Hann maristes, Dakar",1 chambre,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0f1dddf7c46a9a239bb7e15c70bc9be0/-/horizon-files-prod/ed/picture/q445rvnm/24d350da6e04c8a55547f04552ad591f4351b2e0.jpg
Appartements meublés,Appartement 2ch + salon meublé à louer au plateau,"Plateau, Dakar",,,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ea4b6da204ee971c1107c4b0a25e5920/-/horizon-files-prod/ed/picture/qde7z404/d766788e5d0f046ae2779db13d6e30331863a54a.jpg
Appartements meublés,Chambres meublées à Keur Massar,"Keur Massar, Dakar",9 chambre,200 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73770d5bbfa444b85299726ce1d136dc/-/horizon-files-prod/ed/picture/qngxev8r/babb4105e832bed338dde542048206cc59d85666.jpg
Appartements meublés,Très grand bel appartement meublé avec piscine à louer,"Ngor, Dakar",2 chambre,300 m²,150 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb70285ddcf8d7d010cd39c0b1eb17a8/-/horizon-files-prod/ed/picture/qrzrq5zn/5200febd782a8d43b318b60737a871aa83278366.jpg
Appartements meublés,Chambre meublée à Ouest foire,"Ouest foire, Dakar",1 chambre,25 m²,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/874de9fe3e522cf5cc5ec99bfc0f6f77/-/horizon-files-prod/ed/picture/qk9mx6v/05b0fc6e1b8ba63bcb57c36fbf9307f8075119b2.jpg
Appartements meublés,studio meublé à louer sur fann hock dakar,"Fann Hock, Dakar",1 chambre,70 m²,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bad53517e062867d1c00a83547135aab/-/horizon-files-prod/ed/picture/q4454n95/3e99b92eb8db83a8fc2ad91160e7a151990de100.jpg
Appartements meublés,Location studio meublé au point e,"Ouakam, Dakar",1 chambre,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8df75c62cf0ff76c3a3dbba86e097b8d/-/horizon-files-prod/ed/picture/qng90qwx/c0a8796d84d3ce0ad058a3a9a971fff2760a539b.png
Appartements meublés,APPT MEUBLE A LIBERTE 6 EXTENSION,"Liberte 6 extension, Dakar",1 chambre,120 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5358d98bdce346bd7c0eebd9494a3d6/-/horizon-files-prod/ed/picture/q78w25mg/9f70d790e49afdd9a74906aacfabfbcb8491107e.jpg
Appartements meublés,CHAMBRE MEUBLEE A LOUER A RICHARD TOLL,"Richard Toll, Saint-Louis",7 chambre,,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3bcdb3c9ac2c7a13af9bcf6802ad0bb8/-/horizon-files-prod/ed/picture/q0g7j4gd/2ecaea188791a7517cc56d75b3c762c01cbec1d3.jpg
Appartements meublés,Bel appartement meublé à louer a Ouest foire,"Ouest foire, Dakar",,,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c4426a6200ea496447e3ac420833b825/-/horizon-files-prod/ed/picture/qnmdvvr/c1d52f7def25766785983cddd7b30913fc02dcea.jpg
Appartements meublés,Chambre meublée au point E,"Point-e, Dakar",1 chambre,15 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3eed350cf649a3c1eadf46245c6d9eb0/-/horizon-files-prod/ed/picture/q8vz4zk7/ec6cf5496fad8d26d1a88ab2e924f3b04de971c0.jpg
